,Date,Open,High,Low,Close,Adj Close,Volume
2522,1990-12-04,0.334821,0.345982,0.334821,0.34375,0.278784,152152000
2711,1991-09-04,0.470982,0.470982,0.458705,0.459821,0.375505,119784000
8565,2014-11-26,29.485001,29.775,29.4575,29.75,26.934723,163073200
2055,1989-01-30,0.335938,0.339286,0.332589,0.333705,0.264718,586499200
8497,2014-08-21,25.1425,25.235001,25.0275,25.145,22.667213,133912000
3792,1995-12-12,0.344866,0.344866,0.339286,0.339286,0.290892,177553600
4297,1997-12-10,0.134487,0.134487,0.129464,0.131696,0.112912,194880000
5602,2003-02-21,0.264643,0.268929,0.261607,0.267857,0.229651,157444000
4586,1999-02-04,0.358817,0.359375,0.337054,0.33817,0.289935,463780800
7231,2009-08-11,5.846071,5.870714,5.781429,5.815357,4.985885,355342400
5177,2001-06-08,0.386607,0.386607,0.369821,0.380714,0.326411,342624800
5230,2001-08-23,0.325,0.3275,0.313929,0.318036,0.272673,217078400
1698,1987-09-01,0.488839,0.493304,0.46875,0.46875,0.367907,138880000
1453,1986-09-12,0.145089,0.146205,0.141741,0.141741,0.110936,228480000
4536,1998-11-20,0.325335,0.328125,0.310268,0.31529,0.270319,399224000
7891,2012-03-23,21.446072,21.492857,21.228571,21.2875,18.251162,430488800
2955,1992-08-20,0.399554,0.401786,0.395089,0.399554,0.329227,108908800
8562,2014-11-21,29.377501,29.3925,29.0075,29.1175,26.362082,228717200
4766,1999-10-21,0.647879,0.688058,0.646205,0.679688,0.582741,793452800
2800,1992-01-10,0.549107,0.558036,0.544643,0.555804,0.454979,196224000
8292,2013-10-28,18.894285,18.964287,18.686071,18.924286,16.682922,550440800
5090,2001-02-02,0.377232,0.391741,0.366071,0.368304,0.315771,427341600
7279,2009-10-19,6.708929,6.785714,6.626786,6.780714,5.813548,942230800
1856,1988-04-18,0.354911,0.363839,0.350446,0.357143,0.281476,170240000
1826,1988-03-04,0.410714,0.419643,0.40625,0.418527,0.329855,209440000
6767,2007-10-08,5.838929,5.996786,5.820357,5.996786,5.141436,835928800
7753,2011-09-06,13.120357,13.583214,13.088571,13.562143,11.627711,509698000
9252,2017-08-21,39.375,39.4725,38.7775,39.302502,37.45499,105474000
5504,2002-10-01,0.260536,0.260714,0.25,0.259107,0.222149,342423200
478,1982-11-03,0.12779,0.137277,0.12779,0.137277,0.107442,235132800
4858,2000-03-03,1.114955,1.14495,1.071429,1.142857,0.979846,323366400
8275,2013-10-03,17.518213,17.583929,17.169287,17.264643,15.219847,322753200
860,1984-05-08,0.139509,0.147879,0.139509,0.146763,0.114866,255001600
5969,2004-08-06,0.551786,0.555357,0.530357,0.531786,0.455935,492290400
4861,2000-03-08,1.097098,1.106585,1.058594,1.089286,0.933916,271230400
641,1983-06-27,0.237723,0.237723,0.224888,0.224888,0.176012,123043200
9923,2020-04-22,68.402496,69.474998,68.050003,69.025002,68.176125,116862400
191,1981-09-16,0.081473,0.081473,0.080915,0.080915,0.063329,19353600
2381,1990-05-15,0.36942,0.375,0.366071,0.372768,0.299571,149385600
