,Date,Open,High,Low,Close,Adj Close,Volume
471,2017-05-23,62.091999,62.146,60.695999,60.771999,60.771999,21592000
509,2017-07-18,63.5,65.825996,63.132,65.648003,65.648003,31868500
458,2017-05-04,61.487999,61.554001,58.152,59.091999,59.091999,70760000
126,2016-01-08,43.571999,44.088001,42.153999,42.200001,42.200001,18140500
112,2015-12-17,46.787998,47.551998,45.962002,46.678001,46.678001,16493000
977,2019-05-29,37.419998,38.478001,37.007999,37.972,37.972,59843000
1216,2020-05-08,158.753998,164.800003,157.401993,163.884003,163.884003,80432500
113,2015-12-18,46.577999,47.18,45.858002,46.091999,46.091999,15071000
609,2017-12-07,62.400002,63.726002,62.209999,62.248001,62.248001,23903000
1129,2020-01-03,88.099998,90.800003,87.384003,88.601997,88.601997,88892500
753,2018-07-06,60.990002,62.414001,60.400002,61.779999,61.779999,44327500
447,2017-04-19,60.492001,61.324001,60.422001,61.104,61.104,19490000
894,2019-01-29,59.054001,59.712002,58.360001,59.492001,59.492001,23108500
1068,2019-10-07,45.959999,47.712002,45.709999,47.543999,47.543999,40321000
1096,2019-11-14,69.222,70.767998,68.582001,69.870003,69.870003,32324500
220,2016-05-24,43.32,43.748001,43.035999,43.582001,43.582001,15069000
788,2018-08-24,64.139999,64.769997,63.880001,64.564003,64.564003,18013000
561,2017-09-29,68.372002,68.935997,67.720001,68.220001,68.220001,25535500
485,2017-06-13,73.524002,75.199997,73.321999,75.190002,75.190002,59039500
613,2017-12-13,68.185997,68.844002,67.300003,67.806,67.806,31107500
1069,2019-10-08,47.174,48.787998,46.900002,48.009998,48.009998,43391000
1115,2019-12-12,70.984001,72.547997,70.646004,71.935997,71.935997,38819500
1168,2020-03-02,142.251999,148.738007,137.334,148.723999,148.723999,100975000
423,2017-03-15,51.400002,52.200001,50.854,51.146,51.146,26654000
226,2016-06-02,43.917999,43.981998,43.422001,43.792,43.792,10164000
1255,2020-07-06,255.337997,275.558014,253.207993,274.31601,274.31601,102849500
523,2017-08-07,71.470001,71.896004,70.550003,71.033997,71.033997,31622500
785,2018-08-21,62.122002,64.958,61.799999,64.379997,64.379997,65861000
726,2018-05-29,55.702,57.299999,55.23,56.751999,56.751999,28333000
914,2019-02-27,60.355999,63.259998,60.110001,62.948002,62.948002,55919500
1209,2020-04-29,158.033997,160.639999,156.632004,160.102005,160.102005,81080000
953,2019-04-24,52.77,53.063999,51.599998,51.731998,51.731998,53637500
334,2016-11-03,37.799999,38.293999,37.408001,37.484001,37.484001,13265000
701,2018-04-23,58.257999,58.324001,56.466,56.674,56.674,24467000
22,2015-08-11,47.43,47.860001,46.888,47.473999,47.473999,21324500
3,2015-07-15,53.348,53.498001,52.416,52.627998,52.627998,10108000
38,2015-09-02,49.060001,49.576,47.956001,49.537998,49.537998,23146000
909,2019-02-20,60.882,61.259998,59.799999,60.512001,60.512001,35710500
253,2016-07-12,44.82,45.5,44.644001,44.93,44.93,22856500
533,2017-08-21,69.164001,69.164001,66.370003,67.571999,67.571999,32477000
100,2015-12-01,46.212002,47.599998,46.209999,47.438,47.438,18670000
461,2017-05-09,61.875999,64.398003,61.82,64.251999,64.251999,48382500
975,2019-05-24,39.966,39.995998,37.75,38.125999,38.125999,70683000
1164,2020-02-25,169.800003,171.320007,157.399994,159.981995,159.981995,86452500
958,2019-05-01,47.77,48.0,46.299999,46.801998,46.801998,53522000
89,2015-11-13,42.59,42.598,41.304001,41.438,41.438,17151500
830,2018-10-24,60.209999,60.888,57.146,57.700001,57.700001,100291500
769,2018-07-30,59.18,59.220001,57.226002,58.034,58.034,34070500
134,2016-01-21,40.310001,40.646,39.004002,39.993999,39.993999,15831000
281,2016-08-19,44.708,45.034,44.506001,45.0,45.0,8297500
